id;comentario;fecha;me_gusta;seguir
1;../fake-data/blob/hipster.txt;2019-08-05;true;true
2;../fake-data/blob/hipster.txt;2019-08-05;false;false
3;../fake-data/blob/hipster.txt;2019-08-05;false;true
4;../fake-data/blob/hipster.txt;2019-08-05;true;true
5;../fake-data/blob/hipster.txt;2019-08-05;true;false
6;../fake-data/blob/hipster.txt;2019-08-05;false;true
7;../fake-data/blob/hipster.txt;2019-08-05;false;true
8;../fake-data/blob/hipster.txt;2019-08-04;false;true
9;../fake-data/blob/hipster.txt;2019-08-05;false;false
10;../fake-data/blob/hipster.txt;2019-08-05;true;false
